REGION,TECHNOLOGY,YEAR,VALUE
REGION1,BECOSTPH3,2015,15
REGION1,BECOSTPH3,2016,12
REGION1,BECOSTPH3,2017,0
REGION1,BECOSTPH3,2018,0
REGION1,BECOSTPH3,2019,0
REGION1,BECOSTPH3,2020,0
REGION1,BECOSTPH3,2021,0
REGION1,BECOSTPH3,2022,0
REGION1,BECOSTPH3,2023,0
REGION1,BECOSTPH3,2024,0
REGION1,BECOSTPH3,2025,0
REGION1,BECOSTPH3,2026,0
REGION1,BECOSTPH3,2027,0
REGION1,BECOSTPH3,2028,0
REGION1,BECOSTPH3,2029,0
REGION1,BECOSTPH3,2030,0
REGION1,BECOSTPH3,2031,0
REGION1,BECOSTPH3,2032,0
REGION1,BECOSTPH3,2033,0
REGION1,BECOSTPH3,2034,0
REGION1,BECOSTPH3,2035,0
REGION1,BECOSTPH3,2036,0
REGION1,BECOSTPH3,2037,0
REGION1,BECOSTPH3,2038,0
REGION1,BECOSTPH3,2039,0
REGION1,BECOSTPH3,2040,0
REGION1,BECOSTPH3,2041,0
REGION1,BECOSTPH3,2042,0
REGION1,BECOSTPH3,2043,0
REGION1,BECOSTPH3,2044,0
REGION1,BECOSTPH3,2045,0
REGION1,BECOSTPH3,2046,0
REGION1,BECOSTPH3,2047,0
REGION1,BECOSTPH3,2048,0
REGION1,BECOSTPH3,2049,0
REGION1,BECOSTPH3,2050,0
REGION1,BECOSTPH3,2051,0
REGION1,BECOSTPH3,2052,0
REGION1,BECOSTPH3,2053,0
REGION1,BECOSTPH3,2054,0
REGION1,BECOSTPH3,2055,0
REGION1,BECOSTPH3,2056,0
REGION1,BECOSTPH3,2057,0
REGION1,BECOSTPH3,2058,0
REGION1,BECOSTPH3,2059,0
REGION1,BECOSTPH3,2060,0
REGION1,BENG00I00,2015,141
REGION1,BENG00I00,2016,141
REGION1,BENG00I00,2017,130
REGION1,BENG00I00,2018,120
REGION1,BENG00I00,2019,110
REGION1,BENG00I00,2020,100
REGION1,BENG00I00,2021,90
REGION1,BENG00I00,2022,80
REGION1,BENG00I00,2023,0
REGION1,BENG00I00,2024,0
REGION1,BENG00I00,2025,0
REGION1,BENG00I00,2026,0
REGION1,BENG00I00,2027,0
REGION1,BENG00I00,2028,0
REGION1,BENG00I00,2029,0
REGION1,BENG00I00,2030,0
REGION1,BENG00I00,2031,0
REGION1,BENG00I00,2032,0
REGION1,BENG00I00,2033,0
REGION1,BENG00I00,2034,0
REGION1,BENG00I00,2035,0
REGION1,BENG00I00,2036,0
REGION1,BENG00I00,2037,0
REGION1,BENG00I00,2038,0
REGION1,BENG00I00,2039,0
REGION1,BENG00I00,2040,0
REGION1,BENG00I00,2041,0
REGION1,BENG00I00,2042,0
REGION1,BENG00I00,2043,0
REGION1,BENG00I00,2044,0
REGION1,BENG00I00,2045,0
REGION1,BENG00I00,2046,0
REGION1,BENG00I00,2047,0
REGION1,BENG00I00,2048,0
REGION1,BENG00I00,2049,0
REGION1,BENG00I00,2050,0
REGION1,BENG00I00,2051,0
REGION1,BENG00I00,2052,0
REGION1,BENG00I00,2053,0
REGION1,BENG00I00,2054,0
REGION1,BENG00I00,2055,0
REGION1,BENG00I00,2056,0
REGION1,BENG00I00,2057,0
REGION1,BENG00I00,2058,0
REGION1,BENG00I00,2059,0
REGION1,BENG00I00,2060,0
REGION1,DENG00X00,2015,391
REGION1,DENG00X00,2016,391
REGION1,DENG00X00,2017,380
REGION1,DENG00X00,2018,380
REGION1,DENG00X00,2019,380
REGION1,DENG00X00,2020,380
REGION1,DENG00X00,2021,380
REGION1,DENG00X00,2022,386
REGION1,DENG00X00,2023,0
REGION1,DENG00X00,2024,0
REGION1,DENG00X00,2025,0
REGION1,DENG00X00,2026,0
REGION1,DENG00X00,2027,0
REGION1,DENG00X00,2028,0
REGION1,DENG00X00,2029,0
REGION1,DENG00X00,2030,0
REGION1,DENG00X00,2031,0
REGION1,DENG00X00,2032,0
REGION1,DENG00X00,2033,0
REGION1,DENG00X00,2034,0
REGION1,DENG00X00,2035,0
REGION1,DENG00X00,2036,0
REGION1,DENG00X00,2037,0
REGION1,DENG00X00,2038,0
REGION1,DENG00X00,2039,0
REGION1,DENG00X00,2040,0
REGION1,DENG00X00,2041,0
REGION1,DENG00X00,2042,0
REGION1,DENG00X00,2043,0
REGION1,DENG00X00,2044,0
REGION1,DENG00X00,2045,0
REGION1,DENG00X00,2046,0
REGION1,DENG00X00,2047,0
REGION1,DENG00X00,2048,0
REGION1,DENG00X00,2049,0
REGION1,DENG00X00,2050,0
REGION1,DENG00X00,2051,0
REGION1,DENG00X00,2052,0
REGION1,DENG00X00,2053,0
REGION1,DENG00X00,2054,0
REGION1,DENG00X00,2055,0
REGION1,DENG00X00,2056,0
REGION1,DENG00X00,2057,0
REGION1,DENG00X00,2058,0
REGION1,DENG00X00,2059,0
REGION1,DENG00X00,2060,0
REGION1,DKNG00X00,2015,11
REGION1,DKNG00X00,2016,11
REGION1,DKNG00X00,2017,10
REGION1,DKNG00X00,2018,9
REGION1,DKNG00X00,2019,8
REGION1,DKNG00X00,2020,7
REGION1,DKNG00X00,2021,0
REGION1,DKNG00X00,2022,0
REGION1,DKNG00X00,2023,0
REGION1,DKNG00X00,2024,0
REGION1,DKNG00X00,2025,0
REGION1,DKNG00X00,2026,0
REGION1,DKNG00X00,2027,0
REGION1,DKNG00X00,2028,0
REGION1,DKNG00X00,2029,0
REGION1,DKNG00X00,2030,0
REGION1,DKNG00X00,2031,0
REGION1,DKNG00X00,2032,0
REGION1,DKNG00X00,2033,0
REGION1,DKNG00X00,2034,0
REGION1,DKNG00X00,2035,0
REGION1,DKNG00X00,2036,0
REGION1,DKNG00X00,2037,0
REGION1,DKNG00X00,2038,0
REGION1,DKNG00X00,2039,0
REGION1,DKNG00X00,2040,0
REGION1,DKNG00X00,2041,0
REGION1,DKNG00X00,2042,0
REGION1,DKNG00X00,2043,0
REGION1,DKNG00X00,2044,0
REGION1,DKNG00X00,2045,0
REGION1,DKNG00X00,2046,0
REGION1,DKNG00X00,2047,0
REGION1,DKNG00X00,2048,0
REGION1,DKNG00X00,2049,0
REGION1,DKNG00X00,2050,0
REGION1,DKNG00X00,2051,0
REGION1,DKNG00X00,2052,0
REGION1,DKNG00X00,2053,0
REGION1,DKNG00X00,2054,0
REGION1,DKNG00X00,2055,0
REGION1,DKNG00X00,2056,0
REGION1,DKNG00X00,2057,0
REGION1,DKNG00X00,2058,0
REGION1,DKNG00X00,2059,0
REGION1,DKNG00X00,2060,0
REGION1,ESCOSTPH3,2015,185
REGION1,ESCOSTPH3,2016,130
REGION1,ESCOSTPH3,2017,0
REGION1,ESCOSTPH3,2018,0
REGION1,ESCOSTPH3,2019,0
REGION1,ESCOSTPH3,2020,0
REGION1,ESCOSTPH3,2021,0
REGION1,ESCOSTPH3,2022,0
REGION1,ESCOSTPH3,2023,0
REGION1,ESCOSTPH3,2024,0
REGION1,ESCOSTPH3,2025,0
REGION1,ESCOSTPH3,2026,0
REGION1,ESCOSTPH3,2027,0
REGION1,ESCOSTPH3,2028,0
REGION1,ESCOSTPH3,2029,0
REGION1,ESCOSTPH3,2030,0
REGION1,ESCOSTPH3,2031,0
REGION1,ESCOSTPH3,2032,0
REGION1,ESCOSTPH3,2033,0
REGION1,ESCOSTPH3,2034,0
REGION1,ESCOSTPH3,2035,0
REGION1,ESCOSTPH3,2036,0
REGION1,ESCOSTPH3,2037,0
REGION1,ESCOSTPH3,2038,0
REGION1,ESCOSTPH3,2039,0
REGION1,ESCOSTPH3,2040,0
REGION1,ESCOSTPH3,2041,0
REGION1,ESCOSTPH3,2042,0
REGION1,ESCOSTPH3,2043,0
REGION1,ESCOSTPH3,2044,0
REGION1,ESCOSTPH3,2045,0
REGION1,ESCOSTPH3,2046,0
REGION1,ESCOSTPH3,2047,0
REGION1,ESCOSTPH3,2048,0
REGION1,ESCOSTPH3,2049,0
REGION1,ESCOSTPH3,2050,0
REGION1,ESCOSTPH3,2051,0
REGION1,ESCOSTPH3,2052,0
REGION1,ESCOSTPH3,2053,0
REGION1,ESCOSTPH3,2054,0
REGION1,ESCOSTPH3,2055,0
REGION1,ESCOSTPH3,2056,0
REGION1,ESCOSTPH3,2057,0
REGION1,ESCOSTPH3,2058,0
REGION1,ESCOSTPH3,2059,0
REGION1,ESCOSTPH3,2060,0
REGION1,ESNG00I00,2015,324
REGION1,ESNG00I00,2016,324
REGION1,ESNG00I00,2017,300
REGION1,ESNG00I00,2018,300
REGION1,ESNG00I00,2019,300
REGION1,ESNG00I00,2020,300
REGION1,ESNG00I00,2021,318
REGION1,ESNG00I00,2022,317
REGION1,ESNG00I00,2023,0
REGION1,ESNG00I00,2024,0
REGION1,ESNG00I00,2025,0
REGION1,ESNG00I00,2026,0
REGION1,ESNG00I00,2027,0
REGION1,ESNG00I00,2028,0
REGION1,ESNG00I00,2029,0
REGION1,ESNG00I00,2030,0
REGION1,ESNG00I00,2031,0
REGION1,ESNG00I00,2032,0
REGION1,ESNG00I00,2033,0
REGION1,ESNG00I00,2034,0
REGION1,ESNG00I00,2035,0
REGION1,ESNG00I00,2036,0
REGION1,ESNG00I00,2037,0
REGION1,ESNG00I00,2038,0
REGION1,ESNG00I00,2039,0
REGION1,ESNG00I00,2040,0
REGION1,ESNG00I00,2041,0
REGION1,ESNG00I00,2042,0
REGION1,ESNG00I00,2043,0
REGION1,ESNG00I00,2044,0
REGION1,ESNG00I00,2045,0
REGION1,ESNG00I00,2046,0
REGION1,ESNG00I00,2047,0
REGION1,ESNG00I00,2048,0
REGION1,ESNG00I00,2049,0
REGION1,ESNG00I00,2050,0
REGION1,ESNG00I00,2051,0
REGION1,ESNG00I00,2052,0
REGION1,ESNG00I00,2053,0
REGION1,ESNG00I00,2054,0
REGION1,ESNG00I00,2055,0
REGION1,ESNG00I00,2056,0
REGION1,ESNG00I00,2057,0
REGION1,ESNG00I00,2058,0
REGION1,ESNG00I00,2059,0
REGION1,ESNG00I00,2060,0
REGION1,ESNG00X00,2015,1
REGION1,ESNG00X00,2016,1
REGION1,ESNG00X00,2017,1
REGION1,ESNG00X00,2018,1
REGION1,ESNG00X00,2019,1
REGION1,ESNG00X00,2020,1
REGION1,ESNG00X00,2021,0
REGION1,ESNG00X00,2022,0
REGION1,ESNG00X00,2023,0
REGION1,ESNG00X00,2024,0
REGION1,ESNG00X00,2025,0
REGION1,ESNG00X00,2026,0
REGION1,ESNG00X00,2027,0
REGION1,ESNG00X00,2028,0
REGION1,ESNG00X00,2029,0
REGION1,ESNG00X00,2030,0
REGION1,ESNG00X00,2031,0
REGION1,ESNG00X00,2032,0
REGION1,ESNG00X00,2033,0
REGION1,ESNG00X00,2034,0
REGION1,ESNG00X00,2035,0
REGION1,ESNG00X00,2036,0
REGION1,ESNG00X00,2037,0
REGION1,ESNG00X00,2038,0
REGION1,ESNG00X00,2039,0
REGION1,ESNG00X00,2040,0
REGION1,ESNG00X00,2041,0
REGION1,ESNG00X00,2042,0
REGION1,ESNG00X00,2043,0
REGION1,ESNG00X00,2044,0
REGION1,ESNG00X00,2045,0
REGION1,ESNG00X00,2046,0
REGION1,ESNG00X00,2047,0
REGION1,ESNG00X00,2048,0
REGION1,ESNG00X00,2049,0
REGION1,ESNG00X00,2050,0
REGION1,ESNG00X00,2051,0
REGION1,ESNG00X00,2052,0
REGION1,ESNG00X00,2053,0
REGION1,ESNG00X00,2054,0
REGION1,ESNG00X00,2055,0
REGION1,ESNG00X00,2056,0
REGION1,ESNG00X00,2057,0
REGION1,ESNG00X00,2058,0
REGION1,ESNG00X00,2059,0
REGION1,ESNG00X00,2060,0
REGION1,FING00I00,2015,31
REGION1,FING00I00,2016,31
REGION1,FING00I00,2017,27
REGION1,FING00I00,2018,25
REGION1,FING00I00,2019,22
REGION1,FING00I00,2020,20
REGION1,FING00I00,2021,25
REGION1,FING00I00,2022,23
REGION1,FING00I00,2023,0
REGION1,FING00I00,2024,0
REGION1,FING00I00,2025,0
REGION1,FING00I00,2026,0
REGION1,FING00I00,2027,0
REGION1,FING00I00,2028,0
REGION1,FING00I00,2029,0
REGION1,FING00I00,2030,0
REGION1,FING00I00,2031,0
REGION1,FING00I00,2032,0
REGION1,FING00I00,2033,0
REGION1,FING00I00,2034,0
REGION1,FING00I00,2035,0
REGION1,FING00I00,2036,0
REGION1,FING00I00,2037,0
REGION1,FING00I00,2038,0
REGION1,FING00I00,2039,0
REGION1,FING00I00,2040,0
REGION1,FING00I00,2041,0
REGION1,FING00I00,2042,0
REGION1,FING00I00,2043,0
REGION1,FING00I00,2044,0
REGION1,FING00I00,2045,0
REGION1,FING00I00,2046,0
REGION1,FING00I00,2047,0
REGION1,FING00I00,2048,0
REGION1,FING00I00,2049,0
REGION1,FING00I00,2050,0
REGION1,FING00I00,2051,0
REGION1,FING00I00,2052,0
REGION1,FING00I00,2053,0
REGION1,FING00I00,2054,0
REGION1,FING00I00,2055,0
REGION1,FING00I00,2056,0
REGION1,FING00I00,2057,0
REGION1,FING00I00,2058,0
REGION1,FING00I00,2059,0
REGION1,FING00I00,2060,0
REGION1,FRCOSTPH3,2015,43
REGION1,FRCOSTPH3,2016,36
REGION1,FRCOSTPH3,2017,20
REGION1,FRCOSTPH3,2018,10
REGION1,FRCOSTPH3,2019,0
REGION1,FRCOSTPH3,2020,0
REGION1,FRCOSTPH3,2021,0
REGION1,FRCOSTPH3,2022,0
REGION1,FRCOSTPH3,2023,0
REGION1,FRCOSTPH3,2024,0
REGION1,FRCOSTPH3,2025,0
REGION1,FRCOSTPH3,2026,0
REGION1,FRCOSTPH3,2027,0
REGION1,FRCOSTPH3,2028,0
REGION1,FRCOSTPH3,2029,0
REGION1,FRCOSTPH3,2030,0
REGION1,FRCOSTPH3,2031,0
REGION1,FRCOSTPH3,2032,0
REGION1,FRCOSTPH3,2033,0
REGION1,FRCOSTPH3,2034,0
REGION1,FRCOSTPH3,2035,0
REGION1,FRCOSTPH3,2036,0
REGION1,FRCOSTPH3,2037,0
REGION1,FRCOSTPH3,2038,0
REGION1,FRCOSTPH3,2039,0
REGION1,FRCOSTPH3,2040,0
REGION1,FRCOSTPH3,2041,0
REGION1,FRCOSTPH3,2042,0
REGION1,FRCOSTPH3,2043,0
REGION1,FRCOSTPH3,2044,0
REGION1,FRCOSTPH3,2045,0
REGION1,FRCOSTPH3,2046,0
REGION1,FRCOSTPH3,2047,0
REGION1,FRCOSTPH3,2048,0
REGION1,FRCOSTPH3,2049,0
REGION1,FRCOSTPH3,2050,0
REGION1,FRCOSTPH3,2051,0
REGION1,FRCOSTPH3,2052,0
REGION1,FRCOSTPH3,2053,0
REGION1,FRCOSTPH3,2054,0
REGION1,FRCOSTPH3,2055,0
REGION1,FRCOSTPH3,2056,0
REGION1,FRCOSTPH3,2057,0
REGION1,FRCOSTPH3,2058,0
REGION1,FRCOSTPH3,2059,0
REGION1,FRCOSTPH3,2060,0
REGION1,FRNG00I00,2015,112
REGION1,FRNG00I00,2016,112
REGION1,FRNG00I00,2017,112
REGION1,FRNG00I00,2018,112
REGION1,FRNG00I00,2019,112
REGION1,FRNG00I00,2020,112
REGION1,FRNG00I00,2021,0
REGION1,FRNG00I00,2022,0
REGION1,FRNG00I00,2023,0
REGION1,FRNG00I00,2024,0
REGION1,FRNG00I00,2025,0
REGION1,FRNG00I00,2026,0
REGION1,FRNG00I00,2027,0
REGION1,FRNG00I00,2028,0
REGION1,FRNG00I00,2029,0
REGION1,FRNG00I00,2030,0
REGION1,FRNG00I00,2031,0
REGION1,FRNG00I00,2032,0
REGION1,FRNG00I00,2033,0
REGION1,FRNG00I00,2034,0
REGION1,FRNG00I00,2035,0
REGION1,FRNG00I00,2036,0
REGION1,FRNG00I00,2037,0
REGION1,FRNG00I00,2038,0
REGION1,FRNG00I00,2039,0
REGION1,FRNG00I00,2040,0
REGION1,FRNG00I00,2041,0
REGION1,FRNG00I00,2042,0
REGION1,FRNG00I00,2043,0
REGION1,FRNG00I00,2044,0
REGION1,FRNG00I00,2045,0
REGION1,FRNG00I00,2046,0
REGION1,FRNG00I00,2047,0
REGION1,FRNG00I00,2048,0
REGION1,FRNG00I00,2049,0
REGION1,FRNG00I00,2050,0
REGION1,FRNG00I00,2051,0
REGION1,FRNG00I00,2052,0
REGION1,FRNG00I00,2053,0
REGION1,FRNG00I00,2054,0
REGION1,FRNG00I00,2055,0
REGION1,FRNG00I00,2056,0
REGION1,FRNG00I00,2057,0
REGION1,FRNG00I00,2058,0
REGION1,FRNG00I00,2059,0
REGION1,FRNG00I00,2060,0
REGION1,FRNG00X00,2015,12
REGION1,FRNG00X00,2016,12
REGION1,FRNG00X00,2017,12
REGION1,FRNG00X00,2018,12
REGION1,FRNG00X00,2019,12
REGION1,FRNG00X00,2020,12
REGION1,FRNG00X00,2021,0
REGION1,FRNG00X00,2022,0
REGION1,FRNG00X00,2023,0
REGION1,FRNG00X00,2024,0
REGION1,FRNG00X00,2025,0
REGION1,FRNG00X00,2026,0
REGION1,FRNG00X00,2027,0
REGION1,FRNG00X00,2028,0
REGION1,FRNG00X00,2029,0
REGION1,FRNG00X00,2030,0
REGION1,FRNG00X00,2031,0
REGION1,FRNG00X00,2032,0
REGION1,FRNG00X00,2033,0
REGION1,FRNG00X00,2034,0
REGION1,FRNG00X00,2035,0
REGION1,FRNG00X00,2036,0
REGION1,FRNG00X00,2037,0
REGION1,FRNG00X00,2038,0
REGION1,FRNG00X00,2039,0
REGION1,FRNG00X00,2040,0
REGION1,FRNG00X00,2041,0
REGION1,FRNG00X00,2042,0
REGION1,FRNG00X00,2043,0
REGION1,FRNG00X00,2044,0
REGION1,FRNG00X00,2045,0
REGION1,FRNG00X00,2046,0
REGION1,FRNG00X00,2047,0
REGION1,FRNG00X00,2048,0
REGION1,FRNG00X00,2049,0
REGION1,FRNG00X00,2050,0
REGION1,FRNG00X00,2051,0
REGION1,FRNG00X00,2052,0
REGION1,FRNG00X00,2053,0
REGION1,FRNG00X00,2054,0
REGION1,FRNG00X00,2055,0
REGION1,FRNG00X00,2056,0
REGION1,FRNG00X00,2057,0
REGION1,FRNG00X00,2058,0
REGION1,FRNG00X00,2059,0
REGION1,FRNG00X00,2060,0
REGION1,GRNG00I00,2015,58
REGION1,GRNG00I00,2016,58
REGION1,GRNG00I00,2017,55
REGION1,GRNG00I00,2018,55
REGION1,GRNG00I00,2019,55
REGION1,GRNG00I00,2020,55
REGION1,GRNG00I00,2021,55
REGION1,GRNG00I00,2022,55
REGION1,GRNG00I00,2023,0
REGION1,GRNG00I00,2024,0
REGION1,GRNG00I00,2025,0
REGION1,GRNG00I00,2026,0
REGION1,GRNG00I00,2027,0
REGION1,GRNG00I00,2028,0
REGION1,GRNG00I00,2029,0
REGION1,GRNG00I00,2030,0
REGION1,GRNG00I00,2031,0
REGION1,GRNG00I00,2032,0
REGION1,GRNG00I00,2033,0
REGION1,GRNG00I00,2034,0
REGION1,GRNG00I00,2035,0
REGION1,GRNG00I00,2036,0
REGION1,GRNG00I00,2037,0
REGION1,GRNG00I00,2038,0
REGION1,GRNG00I00,2039,0
REGION1,GRNG00I00,2040,0
REGION1,GRNG00I00,2041,0
REGION1,GRNG00I00,2042,0
REGION1,GRNG00I00,2043,0
REGION1,GRNG00I00,2044,0
REGION1,GRNG00I00,2045,0
REGION1,GRNG00I00,2046,0
REGION1,GRNG00I00,2047,0
REGION1,GRNG00I00,2048,0
REGION1,GRNG00I00,2049,0
REGION1,GRNG00I00,2050,0
REGION1,GRNG00I00,2051,0
REGION1,GRNG00I00,2052,0
REGION1,GRNG00I00,2053,0
REGION1,GRNG00I00,2054,0
REGION1,GRNG00I00,2055,0
REGION1,GRNG00I00,2056,0
REGION1,GRNG00I00,2057,0
REGION1,GRNG00I00,2058,0
REGION1,GRNG00I00,2059,0
REGION1,GRNG00I00,2060,0
REGION1,HRNG00X00,2015,6
REGION1,HRNG00X00,2016,6
REGION1,HRNG00X00,2017,5
REGION1,HRNG00X00,2018,5
REGION1,HRNG00X00,2019,5
REGION1,HRNG00X00,2020,5
REGION1,HRNG00X00,2021,5
REGION1,HRNG00X00,2022,5
REGION1,HRNG00X00,2023,0
REGION1,HRNG00X00,2024,0
REGION1,HRNG00X00,2025,0
REGION1,HRNG00X00,2026,0
REGION1,HRNG00X00,2027,0
REGION1,HRNG00X00,2028,0
REGION1,HRNG00X00,2029,0
REGION1,HRNG00X00,2030,0
REGION1,HRNG00X00,2031,0
REGION1,HRNG00X00,2032,0
REGION1,HRNG00X00,2033,0
REGION1,HRNG00X00,2034,0
REGION1,HRNG00X00,2035,0
REGION1,HRNG00X00,2036,0
REGION1,HRNG00X00,2037,0
REGION1,HRNG00X00,2038,0
REGION1,HRNG00X00,2039,0
REGION1,HRNG00X00,2040,0
REGION1,HRNG00X00,2041,0
REGION1,HRNG00X00,2042,0
REGION1,HRNG00X00,2043,0
REGION1,HRNG00X00,2044,0
REGION1,HRNG00X00,2045,0
REGION1,HRNG00X00,2046,0
REGION1,HRNG00X00,2047,0
REGION1,HRNG00X00,2048,0
REGION1,HRNG00X00,2049,0
REGION1,HRNG00X00,2050,0
REGION1,HRNG00X00,2051,0
REGION1,HRNG00X00,2052,0
REGION1,HRNG00X00,2053,0
REGION1,HRNG00X00,2054,0
REGION1,HRNG00X00,2055,0
REGION1,HRNG00X00,2056,0
REGION1,HRNG00X00,2057,0
REGION1,HRNG00X00,2058,0
REGION1,HRNG00X00,2059,0
REGION1,HRNG00X00,2060,0
REGION1,HUNG00X00,2015,31
REGION1,HUNG00X00,2016,31
REGION1,HUNG00X00,2017,29
REGION1,HUNG00X00,2018,29
REGION1,HUNG00X00,2019,29
REGION1,HUNG00X00,2020,29
REGION1,HUNG00X00,2021,29
REGION1,HUNG00X00,2022,29
REGION1,HUNG00X00,2023,0
REGION1,HUNG00X00,2024,0
REGION1,HUNG00X00,2025,0
REGION1,HUNG00X00,2026,0
REGION1,HUNG00X00,2027,0
REGION1,HUNG00X00,2028,0
REGION1,HUNG00X00,2029,0
REGION1,HUNG00X00,2030,0
REGION1,HUNG00X00,2031,0
REGION1,HUNG00X00,2032,0
REGION1,HUNG00X00,2033,0
REGION1,HUNG00X00,2034,0
REGION1,HUNG00X00,2035,0
REGION1,HUNG00X00,2036,0
REGION1,HUNG00X00,2037,0
REGION1,HUNG00X00,2038,0
REGION1,HUNG00X00,2039,0
REGION1,HUNG00X00,2040,0
REGION1,HUNG00X00,2041,0
REGION1,HUNG00X00,2042,0
REGION1,HUNG00X00,2043,0
REGION1,HUNG00X00,2044,0
REGION1,HUNG00X00,2045,0
REGION1,HUNG00X00,2046,0
REGION1,HUNG00X00,2047,0
REGION1,HUNG00X00,2048,0
REGION1,HUNG00X00,2049,0
REGION1,HUNG00X00,2050,0
REGION1,HUNG00X00,2051,0
REGION1,HUNG00X00,2052,0
REGION1,HUNG00X00,2053,0
REGION1,HUNG00X00,2054,0
REGION1,HUNG00X00,2055,0
REGION1,HUNG00X00,2056,0
REGION1,HUNG00X00,2057,0
REGION1,HUNG00X00,2058,0
REGION1,HUNG00X00,2059,0
REGION1,HUNG00X00,2060,0
REGION1,ITNG00I00,2015,407
REGION1,ITNG00I00,2016,416
REGION1,ITNG00I00,2017,424
REGION1,ITNG00I00,2018,433
REGION1,ITNG00I00,2019,441
REGION1,ITNG00I00,2020,449
REGION1,ITNG00I00,2021,459
REGION1,ITNG00I00,2022,0
REGION1,ITNG00I00,2023,0
REGION1,ITNG00I00,2024,0
REGION1,ITNG00I00,2025,0
REGION1,ITNG00I00,2026,0
REGION1,ITNG00I00,2027,0
REGION1,ITNG00I00,2028,0
REGION1,ITNG00I00,2029,0
REGION1,ITNG00I00,2030,0
REGION1,ITNG00I00,2031,0
REGION1,ITNG00I00,2032,0
REGION1,ITNG00I00,2033,0
REGION1,ITNG00I00,2034,0
REGION1,ITNG00I00,2035,0
REGION1,ITNG00I00,2036,0
REGION1,ITNG00I00,2037,0
REGION1,ITNG00I00,2038,0
REGION1,ITNG00I00,2039,0
REGION1,ITNG00I00,2040,0
REGION1,ITNG00I00,2041,0
REGION1,ITNG00I00,2042,0
REGION1,ITNG00I00,2043,0
REGION1,ITNG00I00,2044,0
REGION1,ITNG00I00,2045,0
REGION1,ITNG00I00,2046,0
REGION1,ITNG00I00,2047,0
REGION1,ITNG00I00,2048,0
REGION1,ITNG00I00,2049,0
REGION1,ITNG00I00,2050,0
REGION1,ITNG00I00,2051,0
REGION1,ITNG00I00,2052,0
REGION1,ITNG00I00,2053,0
REGION1,ITNG00I00,2054,0
REGION1,ITNG00I00,2055,0
REGION1,ITNG00I00,2056,0
REGION1,ITNG00I00,2057,0
REGION1,ITNG00I00,2058,0
REGION1,ITNG00I00,2059,0
REGION1,ITNG00I00,2060,0
